CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4803018,Willow Creek No. 26,2007,Well Count,,70.00000
4803018,Willow Creek No. 26,2008,Well Count,,52.00000
4803018,Willow Creek No. 26,2009,Well Count,,27.00000
4803018,Willow Creek No. 26,2010,Well Count,,17.00000
4803018,Willow Creek No. 26,2011,Well Count,,16.00000
4803018,Willow Creek No. 26,2012,Well Count,,10.00000
4803018,Willow Creek No. 26,2013,Well Count,,10.00000
4803018,Willow Creek No. 26,2014,Well Count,,3.00000
4803018,Willow Creek No. 26,2016,Well Count,,8.00000
4803018,Willow Creek No. 26,2017,Well Count,,12.00000
4803018,Willow Creek No. 26,2018,Well Count,,12.00000
4803018,Willow Creek No. 26,2019,Well Count,,1.00000
4802011,Lethbridge County,2003,Well Count,,76.00000
4802011,Lethbridge County,2004,Well Count,,66.00000
4802011,Lethbridge County,2005,Well Count,,59.00000
4802011,Lethbridge County,2006,Well Count,,39.00000
4802011,Lethbridge County,2007,Well Count,,27.00000
4802011,Lethbridge County,2008,Well Count,,21.00000
4802011,Lethbridge County,2009,Well Count,,11.00000
4802011,Lethbridge County,2010,Well Count,,19.00000
4802011,Lethbridge County,2011,Well Count,,24.00000
4802011,Lethbridge County,2012,Well Count,,34.00000
4802011,Lethbridge County,2013,Well Count,,12.00000
4802011,Lethbridge County,2014,Well Count,,10.00000
4802011,Lethbridge County,2015,Well Count,,2.00000
4802011,Lethbridge County,2016,Well Count,,3.00000
4802011,Lethbridge County,2017,Well Count,,3.00000
4802011,Lethbridge County,2018,Well Count,,2.00000
4802011,Lethbridge County,2019,Well Count,,2.00000
4802011,Lethbridge County,2021,Well Count,,1.00000
4802021,"Taber, M.D.",2022,Well Count,,3.00000
4802021,"Taber, M.D.",2003,Well Count,,161.00000
4802021,"Taber, M.D.",2004,Well Count,,214.00000
4802021,"Taber, M.D.",2005,Well Count,,232.00000
4802021,"Taber, M.D.",2006,Well Count,,128.00000
4802021,"Taber, M.D.",2007,Well Count,,162.00000
4802021,"Taber, M.D.",2008,Well Count,,141.00000
4802021,"Taber, M.D.",2009,Well Count,,42.00000
4802021,"Taber, M.D.",2010,Well Count,,61.00000
4802021,"Taber, M.D.",2011,Well Count,,74.00000
4802021,"Taber, M.D.",2012,Well Count,,54.00000
4802021,"Taber, M.D.",2013,Well Count,,48.00000
4802021,"Taber, M.D.",2014,Well Count,,43.00000
4802021,"Taber, M.D.",2015,Well Count,,7.00000
4802021,"Taber, M.D.",2016,Well Count,,5.00000
4802021,"Taber, M.D.",2017,Well Count,,14.00000
4802021,"Taber, M.D.",2018,Well Count,,14.00000
4802021,"Taber, M.D.",2019,Well Count,,3.00000
